DocNo,DocDate,BranchName,TypeCar,ItemCode,ItemName,Qty,Price
BO-001,01/04/2026,THACO AUTO Tải Bus MB,Peugeot 3008,123456,Bơm cao áp,2,5000000
BO-002,15/03/2026,THACO AUTO Tải Bus MN,Kia Seltos,234567,Lọc nhớt,10,150000
BO-003,20/04/2026,THACO AUTO Tải Bus MB,Peugeot 5008,345678,Má phanh trước,5,2000000
BO-004,10/02/2026,THACO AUTO Tải Bus MN,Mazda CX-5,456789,Giảm xóc sau,1,3500000
BO-005,05/04/2026,THACO AUTO Tải Bus MB,Peugeot 2008,567890,Lọc gió động cơ,20,300000
BO-006,25/04/2026,THACO AUTO Tải Bus MN,Kia Morning,678901,Bugie,50,80000
BO-007,01/01/2026,THACO AUTO Tải Bus MB,BMW X5,789012,Đèn pha LED,1,15000000
BO-008,12/03/2026,THACO AUTO Tải Bus MN,Kia Cerato,890123,Dây curoa,3,1200000
BO-009,18/04/2026,THACO AUTO Tải Bus MB,Peugeot 3008,901234,Gạt mưa,10,450000
BO-010,02/05/2026,THACO AUTO Tải Bus MN,Mazda 3,012345,Ắc quy,2,2500000
